Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches
1,Che Adams,FW,Scotland,27,1996,3,3,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
2,Michel Aebischer,MF,Switzerland,27,1997,5,5,476,5.3,1,2,3,1,0,0,0,0,0.19,0.38,0.57,0.19,0.57,Matches
3,Arlind Ajeti,DF,Albania,30,1993,3,3,270,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
4,Manuel Akanji,DF,Switzerland,28,1995,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
5,Samet Akaydın,DF,Türkiye,29,1994,4,4,335,3.7,1,0,1,1,0,0,2,0,0.27,0.0,0.27,0.27,0.27,Matches
6,Nathan Aké,DF,Netherlands,28,1995,6,6,470,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0,0.19,Matches
7,Yunus Akgün,MF,Türkiye,23,2000,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
8,Kerem Aktürkoğlu,MF,Türkiye,25,1998,5,1,105,1.2,1,0,1,1,0,0,0,0,0.86,0.0,0.86,0.86,0.86,Matches
9,Trent Alexander-Arnold,MF,England,25,1998,4,2,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
10,Denis Alibec,FW,Romania,33,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
11,Barış Alper Yılmaz,FW,Türkiye,23,2000,5,5,450,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
12,Sandro Altunashvili,MF,Georgia,26,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
13,Zeki Amdouni,"FW,MF",Switzerland,23,2000,4,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,Matches
14,Joachim Andersen,DF,Denmark,27,1996,4,4,360,4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,Matches
15,Robert Andrich,MF,Germany,29,1994,5,4,318,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,Matches
